votos,financ,idade,n_part,fpart,votos_t1
296395.22,1603.9197,47,2,.27491429,96987.305
194729,13618.653,31,1,.020349331,59863.137
233566.14,7171.793,52,1,.16806297,55564.863
283144.09,24071.725,53,1,.12419878,72222.398
289447.97,6372.3223,52,1,.29304743,70674.891
103730.38,5841.561,36,1,.3047702,4096.8203
195651.45,2565.6509,52,2,.046500102,12549.796
335449.66,9062.0127,62,3,.12894195,81411.969
155347.83,11303.746,43,2,.43368092,2556.2778
253649.06,5357.5171,41,2,.013263241,79694.438
209385.44,5090.2285,53,0,.24082917,11096.331
287406.13,1221.3674,44,2,.13406976,74363.063
295456.34,10150.354,44,1,.10267574,56962.27
173542.16,15532.415,45,0,.25959897,322.45618
232290.17,28728.234,48,1,.19276792,9424.751
132560.83,1986.9666,44,5,.36544928,6709.1694
155634.05,5693.5522,40,2,.23104984,4913.5093
170712.11,55803.938,45,5,.35436049,1832.9821
286994.38,8158.4214,59,2,.22923325,42522.855
287885.72,36923.602,39,4,.15967607,85067.555
235324.23,12925.926,46,1,.084636942,50501.684
288518.03,1612.08,58,2,.097009458,64993.656
229243.36,2163.8127,55,2,.045710631,6815.3477
146589.48,16876.17,29,3,.022401271,971.67902
403816.44,4191.5176,51,1,.23127699,94704.203
261672.2,6152.0747,52,4,.16216798,29350.273
179379.05,22830.066,46,1,.11633582,180.97523
261230.55,470.24109,47,0,.10799024,56467.414
163065.2,3299.5977,44,4,.046528373,46130.313
141374.7,48404.414,42,2,.15668438,12446.392
157876.25,1888.9691,33,2,.29670683,8774.8213
197550.3,3460.7932,48,1,.097807169,12133.144
165260.84,28626.211,38,1,.21799771,10886.032
143034.33,39206.559,32,2,.20205171,3716.1829
203458.28,5764.1987,46,0,.18283686,950.34882
189997.55,22651.561,39,1,.03385628,5229.9429
150319.38,6879.9951,33,4,.026387544,19585.254
211690.33,5162.645,50,1,.33160636,33139.965
248604.16,270.83771,53,2,.33850527,31061.813
233468.36,1503.0835,51,1,.47721753,68855.398
174220.63,5397.333,40,4,.29664519,25175.717
201486.3,22225.938,50,2,.34987372,11663.337
357047.53,1544.6884,49,2,.11004177,76551.961
107658.61,13610.045,37,1,.069840886,14686.122
171643.73,14336.892,34,2,.2533491,3482.1423
285312.78,17675.445,56,1,.052332859,20873.361
190873.19,6140.2422,36,8,.38031191,2592.7273
187447.03,3920.1628,53,1,.12090676,9856.3115
314380.47,1148.3854,45,2,.071950845,38113.637
206638.38,3985.6309,47,3,.1902115,11598.963
232746.16,5225.9824,45,3,.24279079,16171.523
138535.84,2522.6216,38,4,.31481409,3721.4351
279317.56,4281.9087,52,2,.21331342,34919.953
172827.31,10603.857,37,1,.18274146,41344.117
176670.02,7896.8887,41,2,.20990999,1843.2085
126178.89,3979.6465,38,5,.18524207,15871.712
181589.09,1711.1611,45,4,.042159516,2918.3918
191771.3,2624.6897,47,0,.38462704,2986.6292
258599.78,9828.0859,53,0,.21401992,23184.838
168795.48,11486.66,47,3,.14467248,1001.4401
244055.86,8681.9287,61,0,.49230257,26411.83
216220.75,24.855919,55,2,.03887954,3759.6379
255280.61,3162.6453,47,2,.12580264,72159.938
118119.84,1362.5972,49,1,.075624079,7426.7207
233972.7,34158.844,47,1,.29830337,4758.5176
264761.91,14191.345,48,3,.29165244,60912.938
79245.008,3915.3547,34,0,.1334677,2157.8608
220097.17,20060.832,41,3,.25838679,55306.223
166734.14,9004.7012,42,1,.34560853,2173.45
232010.11,3818.1238,57,1,.10284573,4283.5903
278010.88,1753.4918,53,2,.06996832,48593.996
148517.09,54989.668,44,0,.10398955,15613.23
241951.61,1963.3165,47,2,.40981233,39028.336
206525.06,7847.833,49,1,.28722847,14628.692
262973.94,8446.1074,40,3,.26320207,60059.48
259647.98,3844.708,45,4,.062750138,24802.463
175623.53,1490.3805,46,3,.080721535,25255
170190,63114.434,42,2,.10035037,4765.7891
154656.19,5373.356,48,1,.20050701,10906.799
213601.8,6389.9038,41,3,.59006226,16259.109
230061.89,14322.288,44,1,.20224567,28211.074
203276.91,28435.313,49,0,.166842,2716.1228
207019.36,635.9245,38,2,.1558045,24792.354
224112.67,10770.345,39,2,.11069593,21986.189
195779.14,23285.076,43,3,.50787902,14778.642
204568.34,3355.2312,40,2,.49549249,2723.7095
237809.48,5300.8877,43,6,.24884588,41438.453
249897.63,18919.715,35,3,.29022628,93705.359
204964.16,4454.5303,53,1,.12236241,15706.211
157627.7,1404.0493,43,1,.28319252,8198.4316
266286.16,13138.521,44,2,.088816136,58628.027
196093.19,6008.707,56,4,.1577104,18575.57
264147.31,26434.398,43,3,.18075874,8722.0352
187792.97,15355.557,34,0,.34153894,21565.889
163305.86,17896.563,38,2,.44444519,12148.592
261576.33,18474.586,48,2,.32815185,22125.221
158044.56,10258.505,34,0,.083897814,5861.2935
262602.91,2303.4033,46,4,.069038644,11982.545
157863.56,2764.1948,33,3,.51212376,21917.824
219456.72,295.24612,39,2,.09921997,87291.328
147227.38,6833.3315,47,2,.15653475,19825.217
264141.63,813.11383,48,1,.32891387,30528.297
61434.137,54.57645,29,5,.26219162,7032.8301
185465.94,7644.3164,48,1,.32325831,740.13519
149173.42,80.6185,47,3,.075490348,10877.884
330022.81,17434.898,43,2,.14955918,54069.527
240040.36,33746.777,52,3,.11700579,34154.375
200525.23,9591.4863,47,1,.22799885,25419.043
174147.94,6742.2231,50,3,.188067,6060.917
118660.74,6844.6367,47,3,.15244038,12307.019
158517.69,6609.3115,38,2,.06009255,6055.3745
278215.22,14942.175,39,1,.19461238,62898.805
320182.13,9964.542,33,4,.17649552,111628.33
389818.13,2558.7227,49,2,.16479607,128044.42
122839.29,6075.0259,44,2,.19579858,7171.478
272804,3323.2292,47,1,.097778238,72993.93
215699.84,7884.7383,42,0,.15900759,37010.836
202583.33,1078.9476,43,4,.18237901,546.58075
193381,11872.142,43,1,.061672658,796.12482
261589.59,1789.3099,51,2,.32006559,56006.078
312007.59,10342.02,44,1,.095005363,61331.922
232032.17,17813.211,47,1,.093218751,30988.621
235535.33,711.51941,58,1,.081715807,7414.0933
163664.75,15788.961,41,2,.40953943,1194.3969
216154.66,3090.7949,42,6,.054389238,36755.535
137717.88,3604.7773,44,2,.19812901,4901.4985
226662.06,612.40112,52,0,.45093048,6994.8174
215078.02,3939.0715,52,3,.10188354,1203.5652
184083.78,3440.0498,44,1,.016364692,20273.355
149129.52,222.06808,47,3,.21589051,28062.863
193124.61,50.344536,36,2,.11957671,19241.262
236975.38,2012.649,35,2,.27069056,57181.781
227036.72,1662.9904,47,1,.22433713,66836
136233.48,19934.527,38,4,.084476165,7409.084
117384.14,6626.6147,43,2,.37240222,18666.5
204344.66,15765.376,43,1,.24870647,9092.3311
129054.91,19789.188,37,4,.25596079,34401.762
173758.97,44467.051,43,0,.1870174,27961.6
224881.14,2677.3948,34,0,.38981268,109528.96
